iter	Passed	Remaining
411	5338	7619
412	5352	7607
413	5363	7591
414	5374	7576
415	5387	7563
416	5402	7553
417	5414	7539
418	5430	7529
419	5442	7516
420	5455	7502
421	5470	7492
422	5482	7478
423	5497	7467
424	5506	7450
425	5519	7437
426	5532	7423
427	5546	7412
428	5563	7404
429	5579	7395
430	5594	7385
431	5608	7373
432	5625	7366
433	5635	7349
434	5648	7336
435	5661	7324
436	5673	7309
437	5688	7298
438	5699	7283
439	5712	7269
440	5721	7251
441	5731	7235
442	5742	7220
443	5755	7207
444	5770	7196
445	5782	7182
446	5792	7166
447	5803	7151
448	5818	7140
449	5832	7128
450	5843	7113
451	5852	7095
452	5863	7079
453	5873	7064
454	5884	7049
455	5893	7031
456	5904	7016
457	5916	7001
458	5929	6988
459	5940	6973
460	5950	6957
461	5963	6944
462	5972	6926
463	5985	6914
464	5995	6898
465	6006	6882
466	6018	6869
467	6029	6854
468	6041	6840
469	6055	6828
470	6068	6815
471	6079	6800
472	6090	6785
473	6096	6765
474	6108	6751
475	6122	6739
476	6138	6730
477	6148	6714
478	6164	6704
479	6175	6690
480	6186	6674
481	6205	6668
482	6223	6661
483	6238	6651
484	6252	6638
485	6266	6627
486	6274	6609
487	6288	6597
488	6303	6586
489	6315	6572
490	6326	6558
491	6341	6547
492	6352	6532
493	6363	6518
494	6376	6505
495	6392	6495
496	6405	6483
497	6418	6469
498	6433	6459
499	6443	6443
500	6454	6428
501	6464	6412
502	6475	6397
503	6486	6383
504	6498	6369
505	6511	6356
506	6526	6345
507	6538	6332
508	6551	6319
509	6565	6308
510	6576	6293
511	6588	6279
512	6602	6268
513	6613	6253
514	6626	6240
515	6637	6226
516	6651	6214
517	6666	6202
518	6682	6193
519	6693	6178
520	6706	6165
521	6716	6150
522	6727	6135
523	6740	6123
524	6754	6111
525	6763	6095
526	6777	6083
527	6786	6066
528	6797	6051
529	6810	6039
530	6820	6024
531	6831	6009
532	6842	5994
533	6853	5980
534	6864	5966
535	6877	5953
536	6886	5937
537	6898	5924
538	6914	5914
539	6927	5900
540	6938	5886
541	6951	5874
542	6959	5857
543	6978	5849
544	6992	5837
545	7006	5825
546	7020	5813
547	7033	5801
548	7043	5786
549	7056	5773
550	7069	5761
551	7081	5747
552	7095	5735
553	7106	5720
554	7122	5711
555	7133	5696
556	7145	5683
557	7159	5671
558	7172	5658
559	7183	5644
560	7194	5629
561	7204	5615
562	7216	5601
563	7228	5587
564	7236	5571
565	7250	5559
566	7264	5547
567	7279	5536
568	7288	5520
569	7302	5509
570	7315	5496
571	7328	5483
572	7339	5469
573	7348	5453
574	7358	5438
575	7374	5428
576	7387	5415
577	7399	5402
578	7412	5389
579	7420	5373
580	7431	5359
581	7443	5345
582	7453	5331
583	7464	5317
584	7477	5304
585	7488	5290
586	7500	5277
587	7514	5265
588	7529	5253
589	7541	5240
590	7552	5226
591	7565	5213
592	7576	5200
593	7588	5186
594	7600	5173
595	7611	5159
596	7624	5146
597	7636	5133
598	7648	5119
599	7657	5104
600	7669	5091
601	7680	5077
602	7702	5070
603	7718	5060
604	7731	5048
605	7742	5033
606	7753	5020
607	7763	5005
608	7775	4992
609	7785	4977
610	7794	4962
611	7808	4950
612	7819	4936
613	7832	4924
614	7846	4911
615	7861	4900
616	7872	4886
617	7883	4873
618	7897	4860
619	7907	4846
620	7918	4832
621	7929	4818
622	7937	4803
623	7949	4789
624	7963	4777
625	7983	4769
626	7992	4754
627	8002	4740
628	8013	4726
629	8026	4713
630	8033	4697
631	8050	4687
632	8063	4675
633	8080	4664
634	8095	4653
635	8107	4639
636	8118	4626
637	8132	4614
638	8143	4600
639	8155	4587
640	8169	4575
641	8182	4562
642	8195	4550
643	8211	4539
644	8223	4526
645	8234	4512
646	8247	4499
647	8264	4489
648	8282	4479
649	8297	4467
650	8310	4455
651	8319	4440
652	8331	4427
653	8347	4416
654	8359	4403
655	8372	4390
656	8386	4378
657	8402	4367
658	8417	4355
659	8429	4342
660	8442	4329
661	8454	4316
662	8467	4303
663	8476	4289
664	8490	4277
665	8503	4264
666	8516	4252
667	8530	4239
668	8546	4228
669	8561	4216
670	8574	4204
671	8586	4190
672	8596	4176
673	8606	4162
674	8621	4150
675	8631	4137
676	8643	4123
677	8656	4111
678	8671	4099
679	8684	4086
680	8694	4072
681	8707	4060
682	8719	4047
683	8729	4032
684	8740	4019
685	8756	4008
686	8765	3993
687	8779	3981
688	8789	3967
689	8802	3954
690	8812	3940
691	8825	3928
692	8840	3916
693	8850	3902
694	8862	3889
695	8874	3876
696	8884	3862
697	8894	3848
698	8903	3834
699	8915	3820
700	8926	3807
701	8937	3793
702	8948	3780
703	8960	3767
704	8974	3755
705	8985	3742
706	9005	3732
707	9024	3721
708	9040	3710
709	9049	3696
710	9061	3683
711	9080	3673
712	9093	3660
713	9110	3649
714	9123	3636
715	9138	3624
716	9153	3612
717	9166	3600
718	9180	3587
719	9194	3575
720	9207	3563
721	9223	3551
722	9239	3540
723	9255	3528
724	9270	3516
725	9282	3503
726	9296	3490
727	9309	3478
728	9325	3466
729	9339	3454
730	9352	3441
731	9363	3428
732	9381	3417
733	9391	3403
734	9404	3390
735	9416	3377
736	9429	3364
737	9441	3351
738	9453	3338
739	9466	3325
740	9481	3313
741	9492	3300
742	9504	3287
743	9512	3273
744	9527	3261
745	9538	3247
746	9552	3235
747	9565	3222
748	9576	3209
749	9586	3195
750	9601	3183
751	9611	3169
752	9621	3156
753	9631	3142
754	9643	3129
755	9656	3116
756	9669	3104
757	9684	3091
758	9696	3078
759	9710	3066
760	9723	3053
761	9737	3041
762	9746	3027
763	9760	3015
764	9772	3002
765	9781	2988
766	9793	2974
767	9803	2961
768	9814	2948
769	9827	2935
770	9842	2923
771	9852	2909
772	9866	2897
773	9881	2885
774	9890	2871
775	9904	2859
776	9918	2846
777	9931	2833
778	9949	2822
779	9964	2810
780	9975	2797
781	9987	2784
782	10001	2771
783	10010	2758
784	10026	2746
785	10037	2732
786	10051	2720
787	10064	2707
788	10081	2695
789	10090	2682
790	10102	2669
791	10115	2656
792	10132	2644
793	10143	2631
794	10158	2619
795	10179	2608
796	10188	2595
797	10203	2582
798	10217	2570
799	10231	2557
800	10243	2544
801	10254	2531
802	10268	2519
803	10281	2506
804	10297	2494
805	10316	2483
806	10328	2470
807	10346	2458
808	10361	2446
809	10374	2433
810	10387	2420
811	10399	2407
812	10414	2395
813	10426	2382
814	10441	2370
815	10454	2357
816	10466	2344
817	10479	2331
818	10491	2318
819	10501	2305
820	10516	2292
821	10529	2280
822	10541	2267
823	10555	2254
824	10569	2241
825	10583	2229
826	10592	2215
827	10605	2203
828	10619	2190
829	10629	2177
830	10642	2164
831	10656	2151
832	10668	2138
833	10677	2125
834	10691	2112
835	10707	2100
836	10722	2088
837	10735	2075
838	10745	2061
839	10759	2049
840	10771	2036
841	10781	2023
842	10791	2009
843	10803	1996
844	10814	1983
845	10828	1971
846	10842	1958
847	10852	1945
848	10866	1932
849	10881	1920
850	10894	1907
851	10910	1895
852	10923	1882
853	10934	1869
854	10946	1856
855	10958	1843
856	10969	1830
857	10979	1817
858	10991	1804
859	11000	1790
860	11011	1777
861	11024	1764
862	11037	1752
863	11049	1739
864	11063	1726
865	11072	1713
866	11085	1700
867	11095	1687
868	11108	1674
869	11120	1661
870	11133	1648
871	11146	1636
872	11159	1623
873	11171	1610
874	11184	1597
875	11197	1585
876	11208	1572
877	11221	1559
878	11232	1546
879	11242	1533
880	11253	1520
881	11263	1506
882	11275	1494
883	11288	1481
884	11302	1468
885	11314	1455
886	11326	1442
887	11337	1429
888	11351	1417
889	11361	1404
890	11374	1391
891	11383	1378
892	11397	1365
893	11407	1352
894	11422	1340
895	11437	1327
896	11447	1314
897	11458	1301
898	11471	1288
899	11483	1275
900	11493	1262
901	11503	1249
902	11517	1237
903	11527	1224
904	11543	1211
905	11555	1198
906	11567	1186
907	11581	1173
908	11593	1160
909	11603	1147
910	11618	1135
911	11629	1122
912	11642	1109
913	11656	1096
914	11676	1084
915	11691	1072
916	11705	1059
917	11721	1047
918	11735	1034
919	11747	1021
920	11758	1008
921	11770	995
922	11784	983
923	11793	970
924	11807	957
925	11818	944
926	11833	931
927	11850	919
928	11860	906
929	11875	893
930	11891	881
931	11900	868
932	11913	855
933	11924	842
934	11940	830
935	11956	817
936	11971	804
937	11983	792
938	11998	779
939	12011	766
940	12023	753
941	12036	741
942	12046	728
943	12058	715
944	12068	702
945	12081	689
946	12099	677
947	12108	664
948	12118	651
949	12134	638
950	12146	625
951	12159	613
952	12173	600
953	12187	587
954	12198	574
955	12210	562
956	12224	549
957	12237	536
958	12256	524
959	12269	511
960	12279	498
961	12290	485
962	12301	472
963	12312	459
964	12329	447
965	12343	434
966	12358	421
967	12372	409
968	12381	396
969	12393	383
970	12407	370
971	12423	357
972	12436	345
973	12445	332
974	12455	319
975	12463	306
976	12472	293
977	12482	280
978	12493	267
979	12506	255
980	12514	242
981	12523	229
982	12531	216
983	12539	203
984	12546	191
985	12554	178
986	12559	165
987	12566	152
988	12572	139
989	12578	127
990	12583	114
991	12588	101
992	12592	88
993	12597	76
994	12602	63
995	12606	50
996	12611	37
997	12616	25
998	12619	12
999	12622	0
