iter	Logloss
0	0.6519223269
1	0.6139270094
2	0.582011285
3	0.5525368529
4	0.5280519968
5	0.5073065105
6	0.4882088493
7	0.4721811453
8	0.4581799739
9	0.4456969862
10	0.4355532758
11	0.4261889109
12	0.4185578257
13	0.4113297737
14	0.4057811226
15	0.4008622746
16	0.3962210269
17	0.3913911119
18	0.3873568653
19	0.3842863292
20	0.3807323161
21	0.3770577025
22	0.3749160707
23	0.3729958124
24	0.3702216439
25	0.3684581874
26	0.3668393509
27	0.3649531742
28	0.3630339591
29	0.3614130148
30	0.3595153741
31	0.3579540467
32	0.3566936226
33	0.3554925124
34	0.354158955
35	0.352431063
36	0.3511073645
37	0.3498503244
38	0.348370623
39	0.3472540853
40	0.3461153061
41	0.3449427701
42	0.3438825077
43	0.3429917979
44	0.342354353
45	0.3415292261
46	0.3405132895
47	0.3396759983
48	0.3389633801
49	0.3379155369
50	0.3373662571
51	0.3368306865
52	0.3361141253
53	0.3350902448
54	0.3345114732
55	0.3337638138
56	0.3330656028
57	0.3323224279
58	0.331218842
59	0.3306736048
60	0.3303371958
61	0.3295714193
62	0.3289847894
63	0.328120609
64	0.3276815371
65	0.3269725657
66	0.3265008199
67	0.3259374377
68	0.3254361223
69	0.3248942217
70	0.3242381468
71	0.3233665803
72	0.3226777386
73	0.3221340826
74	0.3216849065
75	0.3213150874
76	0.3208895364
77	0.3204936188
78	0.3201133844
79	0.3195343217
80	0.3191023294
81	0.3185949446
82	0.3182987778
83	0.3179867637
84	0.3173188046
85	0.3167857842
86	0.3162473021
87	0.3160126768
88	0.315312466
89	0.3149880785
90	0.3147581809
91	0.3143792319
92	0.3136226334
93	0.3131046438
94	0.3128262581
95	0.3124421989
96	0.3120692609
97	0.3116888528
98	0.3109253583
99	0.3105806944
100	0.3101741782
101	0.309808154
102	0.3094373781
103	0.3089291671
104	0.3085967391
105	0.3082693276
106	0.307631106
107	0.3068661884
108	0.3063263471
109	0.3057725306
110	0.3055554067
111	0.3050525901
112	0.3048527372
113	0.3044852533
114	0.3041152681
115	0.303699486
116	0.3034325049
117	0.3032190137
118	0.3029418819
119	0.3027908066
120	0.3020191216
121	0.3016560364
122	0.301264135
123	0.3008035796
124	0.300192178
125	0.2997365092
126	0.2993417325
127	0.2988460137
128	0.2981832816
129	0.2972249741
130	0.2969606201
131	0.2966503842
132	0.2964346919
133	0.2960451561
134	0.2958747471
135	0.2956488504
136	0.2954225178
137	0.2949764243
138	0.2944875511
139	0.2941813472
140	0.2936759104
141	0.2933618631
142	0.2928297993
143	0.2925879029
144	0.2923322351
145	0.2921175348
146	0.2918164063
147	0.2916175699
148	0.2911812421
149	0.2910990702
150	0.2905840824
151	0.2901862781
152	0.2901256706
153	0.2898955677
154	0.2895879289
155	0.2893843845
156	0.2892292429
157	0.2889978361
158	0.2885118341
159	0.2882872767
160	0.2878831454
161	0.2875211517
162	0.2873358697
163	0.2870630575
164	0.2868140523
165	0.2866639088
166	0.2864431354
167	0.2862917744
168	0.2858305598
169	0.2854754412
170	0.2852620972
171	0.2850629261
172	0.2845759002
173	0.2843573073
174	0.2840721556
175	0.2838338287
176	0.2836474283
177	0.2832994853
178	0.283106581
179	0.2827937508
180	0.2825969738
181	0.2823600682
182	0.2820932324
183	0.2818218303
184	0.2815956633
185	0.2812359181
186	0.2810210961
187	0.280562558
188	0.2802823435
189	0.2799887787
190	0.2798602943
191	0.2796626585
192	0.2792789807
193	0.2787331513
194	0.2782617249
195	0.2781290686
196	0.2778214789
197	0.2776088361
198	0.2773865166
199	0.2769691468
200	0.2767838301
201	0.276441375
202	0.2761757513
203	0.276052496
204	0.2755471445
205	0.2754127033
206	0.2751346039
207	0.2749707992
208	0.2747659471
209	0.2744803509
210	0.2741851907
211	0.2738329858
212	0.2733897339
213	0.2731043578
214	0.2724724872
215	0.2721565995
216	0.2719350588
217	0.2716248856
218	0.2709609813
219	0.2707071454
220	0.2703826645
221	0.270190866
222	0.269798924
223	0.269479007
224	0.2693117377
225	0.2688016108
226	0.2685775546
227	0.2683528288
228	0.2681253627
229	0.2677438255
230	0.2674140355
231	0.266954872
232	0.2666033868
233	0.2662501033
234	0.2659891901
235	0.2657922946
236	0.265597262
237	0.2653961335
238	0.2648980983
239	0.2645575655
240	0.2642218573
241	0.2639175187
242	0.2635337222
243	0.262999063
244	0.2627372151
245	0.2624884454
246	0.262089748
247	0.2616141208
248	0.2612380948
249	0.2610624138
250	0.2606538095
251	0.2603820373
252	0.2600655834
253	0.259433322
254	0.2591963767
255	0.2589050169
256	0.2587213749
257	0.2581913042
258	0.257634001
259	0.2570289178
260	0.2568240526
261	0.2562872508
262	0.2559942013
263	0.255695726
264	0.2554934721
265	0.2550048481
266	0.2547250803
267	0.2545209077
268	0.2542465861
269	0.2540045484
270	0.2537445435
271	0.2535159747
272	0.2530260431
273	0.2527083274
274	0.2524691233
275	0.252319434
276	0.2521977813
277	0.2518256165
278	0.2516098725
279	0.251412252
280	0.2510676942
281	0.2508521658
282	0.2504718541
283	0.2502685747
284	0.2500713309
285	0.2498604594
286	0.2496216337
287	0.2494344667
288	0.2492280237
289	0.2490163898
290	0.2488570606
291	0.2487177962
292	0.2485457816
293	0.2483545032
294	0.2482224646
295	0.2480335901
296	0.2478853693
297	0.2476528568
298	0.2474069731
299	0.2471987362
300	0.2469832702
301	0.2468400431
302	0.2466957946
303	0.2465063393
304	0.2463903976
305	0.2460816827
306	0.2458957779
307	0.2455505106
308	0.2454544242
309	0.2453191022
